File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\SGE.cpp,444,254,151,33,105,1,85,151,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\SGE_Audio.cpp,88,44,19,3,20,1,24,38,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\SGE_Graphics.cpp,677,431,250,23,145,1,101,178,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\SGE_Math.cpp,605,385,211,51,141,1,79,98,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\SGE_UI.cpp,300,181,104,7,70,1,49,79,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\SGE.h,79,44,33,0,15,2,20,39,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\SGE_Audio.h,45,19,11,0,12,2,14,31,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\SGE_Graphics.h,169,103,87,0,41,2,25,49,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\SGE_Input.h,172,129,118,0,20,2,23,52,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\SGE_Math.h,196,110,92,0,45,2,41,103,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\SGE_UI.h,108,60,45,0,29,2,19,36,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Audio\CFMOD.cpp,149,75,41,11,31,0,43,118,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Audio\CSound.cpp,242,139,72,24,49,0,54,203,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Audio\Audio.h,16,5,0,0,4,1,7,12,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Audio\CFMOD.h,52,20,12,0,14,4,18,84,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Audio\CSound.h,61,27,19,0,14,3,20,58,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Core\CApplication.cpp,168,91,48,3,36,10,41,115,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Core\CLog.cpp,151,77,48,5,33,3,41,134,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Core\CTimer.cpp,158,83,52,9,35,0,40,121,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Core\CApplication.h,61,23,14,0,15,1,23,75,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Core\CLog.h,56,25,12,0,13,4,18,83,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Core\Core.h,17,6,0,0,4,1,7,12,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Core\CTimer.h,60,25,16,0,15,6,20,117,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\External\Include\FMOD\fmod.h,2410,1032,636,0,246,451,1132,12360,7,55
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\External\Include\FMOD\fmod_codec.h,160,54,48,0,14,31,92,1486,8,72
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\External\Include\FMOD\fmod_dsp.h,680,185,74,0,47,113,448,4250,11,108
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\External\Include\FMOD\fmod_errors.h,119,105,96,1,7,0,7,44,7,44
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\External\Include\FMOD\fmod_memoryinfo.h,201,111,2,0,15,97,75,889,7,44
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\External\Include\FMOD\fmod_output.h,94,37,31,0,12,15,45,555,8,71
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\External\Include\FMOD\fmod.hpp,602,405,381,0,101,10,96,468,6,40
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Graphics\CDXGraphics.cpp,255,141,84,17,48,3,66,245,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Graphics\CFont.cpp,192,132,57,10,28,16,32,122,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Graphics\CSprite.cpp,421,275,149,24,85,7,61,128,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Graphics\CSpriteRenderer.cpp,159,81,43,11,33,0,45,123,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Graphics\CTexture.cpp,111,64,24,5,22,14,25,116,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Graphics\CWireFrame.cpp,146,82,43,4,32,0,32,62,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Graphics\CDXGraphics.h,59,24,16,0,15,7,20,117,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Graphics\CFont.h,80,42,31,0,17,5,21,66,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Graphics\CSprite.h,114,58,50,0,27,6,29,127,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Graphics\CSpriteRenderer.h,60,22,14,0,16,4,22,83,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Graphics\CTexture.h,53,20,12,0,13,2,20,53,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Graphics\CWireFrame.h,61,25,17,0,16,1,20,54,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Graphics\Graphics.h,20,9,0,0,4,1,7,12,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Input\CDXInput.cpp,677,429,236,87,118,0,130,372,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Input\CDXInput.h,121,61,51,0,29,17,31,201,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Input\Input.h,16,5,0,0,4,1,7,13,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Input\InputTypes.h,164,126,117,0,18,1,20,48,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Misc\CIniFile.cpp,215,125,69,25,40,0,50,155,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Misc\CSplashScreen.cpp,220,135,76,14,38,10,47,184,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Misc\CIniFile.h,62,28,19,0,14,6,20,106,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Misc\CSplashScreen.h,54,21,14,0,14,1,19,65,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Misc\Misc.h,16,5,0,0,4,1,7,12,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Resource\CResource.cpp,65,29,12,2,16,0,20,31,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Resource\CResourceManager.cpp,146,76,43,10,30,0,40,129,7,11
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Resource\CResource.h,63,21,14,0,15,3,27,167,0,0
C:\Users\Katlin\Desktop\VGp 201\TEST\VGP201\SGE\Resource\CResourceManager.h,150,73,41,14,29,4,48,321,0,0
